id,category,type,model,brand,price_cny,quantity,total_amount_cny,created_at,brief_description,detailed_description,a429_baud_rate_options_bps,a429_fifo_depth_bytes,a429_rx_channel_count,a429_tx_channel_count,ad_accuracy_current_percent_fs,ad_accuracy_description,ad_accuracy_voltage_percent_fs,ad_channel_count_differential,ad_channel_count_single_ended,ad_channel_group_size,ad_coupling_mode,ad_current_sampling_resistor_accuracy_percent,ad_current_sampling_resistor_ohm,ad_group_configurable_voltage_current,ad_input_current_ranges_ma,ad_input_impedance_ohm,ad_input_modes,ad_input_voltage_programmable,ad_input_voltage_range_max_v,ad_input_voltage_range_min_v,ad_resolution_bits,ad_sampling_rate_hz,afdx_channel_count,afdx_hardware_protocol_stack,afdx_port_count,afdx_rx_buffer_depth_bytes,afdx_tx_buffer_depth_bytes,bissc_baud_rate_options_hz,bissc_channel_count,bissc_data_width_bits_max,bissc_data_width_bits_min,bus_interface_type,can_baud_rate_max_bps,can_baud_rate_min_bps,can_channel_count,can_fd_baud_rate_max_bps,can_fd_baud_rate_min_bps,can_fd_support,can_isolation_voltage_v,counter_bits,counter_channel_count,counter_max_input_frequency_hz,counter_reference_clock_hz,coupler_port_count,custom_current_range_max_ma,custom_current_range_min_ma,custom_voltage_range_max_v,custom_voltage_range_min_v,da_accuracy_current_percent_fs,da_accuracy_voltage_percent_fs,da_channel_count,da_isolation_support,da_output_current_max_ma,da_output_current_min_ma,da_output_mode_configurable_switch,da_output_mode_programmable,da_output_voltage_max_v,da_output_voltage_min_v,da_resolution_bits,da_slew_rate_ma_per_us,da_slew_rate_v_per_us,da_update_rate_hz,devicenet_support,di_channel_count,di_voltage_range_max_v,di_voltage_range_min_v,dio_configurable_as_counter,dio_configurable_as_pulse_input,dio_configurable_as_pwm,dio_direction_group_size,dio_interrupt_capability,dio_isolation_support,dio_isolation_voltage_v,dio_logic_level,dio_total_channel_count,do_channel_count,do_drive_current_ma,do_is_relay,do_sink_current_max_ma,do_voltage_range_max_v,do_voltage_range_min_v,dpm_support,driver_support_linux,driver_support_realtime,driver_support_windows,encoder_channel_count_differential,encoder_channel_count_single_ended,encoder_counter_bits,encoder_hall_channel_count,encoder_isolation_support,encoder_max_input_frequency_hz,encoder_quadrature_channel_count,encoder_signal_types_supported,endat22_flag_bits_options,endat22_recovery_time_max_us,endat22_recovery_time_min_us,endat_baud_rate_options_hz,endat_channel_count,endat_resolution_bits_max,endat_resolution_bits_min,endat_version,ethercat_support,form_factor,fpga_block_ram_mb,fpga_clock_frequency_hz,fpga_fiber_channel_count,fpga_flip_flops,fpga_logic_cells,fpga_luts,fpga_multipliers_maccs,fpga_ps_arm_cores,fpga_ps_cache_l1_l2,fpga_ps_cpu_frequency_hz,fpga_ps_external_memory_support,fpga_ps_on_chip_ram_kb,fpga_transceivers_count_and_speed,i2c_address_space_bytes,i2c_channel_count,i2c_fast_mode_plus_rate_mbps,i2c_fast_mode_rate_kbps,i2c_interface_type,i2c_standard_mode_rate_kbps,input_overvoltage_protection_v,lvds_channel_count,lvds_fifo_depth_bytes,lvds_logic_level,lvds_signaling_mode,lvdt_rvdt_accuracy_arcmin,lvdt_rvdt_channel_count,lvdt_rvdt_output_voltage_max_v,lvdt_rvdt_output_voltage_min_v,lvdt_rvdt_rdc_support,lvdt_rvdt_reference_frequency_max_hz,lvdt_rvdt_reference_frequency_min_hz,lvdt_rvdt_reference_voltage_v,mil1553_channel_count,mil1553_multifunction_support,mil1553_operation_modes_supported,mil1553_redundancy_support,motion_control_axis_count,motion_enable_reset_channel_count,motion_encoder_input_channel_count,motion_pulse_output_channel_count,motion_pulse_output_type,output_on_resistance_ohm,pcm_channel_count,power_output_channel_count,power_output_current_ma,power_output_voltage_v,pps_input_channel_count,pps_logic_levels_supported,pps_oscillator_frequency_hz,pps_oscillator_stability_ppb,pps_output_channel_count,pps_sync_accuracy_ns,profibus_dp_support,profinet_support,protocol_analysis_support,psi5_channel_count,pwm_complementary_output_support,pwm_dead_zone_configurable,pwm_frequency_max_hz,pwm_frequency_min_hz,pwm_output_channel_count,rdc_sdc_channel_count,rdc_sdc_coarse_fine_support,rdc_sdc_excitation_frequency_max_hz,rdc_sdc_excitation_frequency_min_hz,rdc_sdc_excitation_voltage_vpp,rdc_sdc_input_signal_max_vrms,rdc_sdc_input_signal_min_vrms,rdc_sdc_mode_configurable,rdc_sdc_resolution_bits,relay_bounce_time_ms,relay_max_current_ma,relay_max_voltage_vdc,relay_type,rfm_baud_rate_bps,rfm_fiber_mode,rfm_fiber_transmission_distance_m,rfm_fifo_depth_bytes,rfm_memory_size_bytes,rtd_accuracy_ohm_offset,rtd_accuracy_percent,rtd_channel_count,rtd_max_power_mw,rtd_resistance_max_ohm,rtd_resistance_min_ohm,rtd_resolution_bits,rtd_resolution_ohm,sent_channel_count,spi_channel_count,spi_clock_frequency_hz,spi_data_width_bits,spi_isolation_support,spi_logic_level,spi_master_slave_modes,ssi_baud_rate_options_hz,ssi_channel_count,ssi_data_width_bits_max,ssi_data_width_bits_min,ssi_isolation_support,ssi_measurement_interval_us,supported_series,termination_resistor_ohm,uart_channel_count,uart_fifo_depth_bytes,uart_interface_types_supported,uart_isolation_support,uart_max_baud_rate_bps
1,多功能采集,多功能采集卡,Links-IPC-DAQ-05,灵思创奇,250,1,250,,"16路A/D并行采集，16位分辨率，±10 V（可客制-30V～+30V），采样率100kHz；
16路D/A并行输出，16位分辨率，±10 V，数据更新率100KHz；
32路数字I/O线（5V CMOS/TTL），可软件配置为DI、DO、计数器输入/输出，PWM输入/输出，16个32位计数器。","16路A/D并行采集，16位分辨率，±10 V（可客制-30V～+30V），采样率100kHz；
16路D/A并行输出，16位分辨率，±10 V，数据更新率100KHz；
32路数字I/O线（5V CMOS/TTL），可软件配置为DI、DO、计数器输入/输出，PWM输入/输出，16个32位计数器。",,,,,,,,,16,,,,,,,,,,10.0,-10.0,16,100000.0,,,,,,,,,,,,,,,,,,32,16,,,,,,30.0,-30.0,,,16,,,,,,10.0,-10.0,16,,,100000.0,,,,,True,,True,,,,,5V CMOS/TTL,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,多功能采集,多功能采集卡,Links-IPCe-DAQ-06,灵思创奇,190,1,190,,"1）32路单端/16路差分A/D输入，16位分辨率，采样率0KHz，输入范围±10V/±5V/±2.5V/±1.25V/±0.625V可设；
2）4路同步D/A输出，16位分辨率，单通道更新率最大可达2.8M Samples/S，±10V, ±5V输出；
3)4通道32位定时器/计数器","1）32路单端/16路差分A/D输入，16位分辨率，采样率0KHz，64M FIFO,输入范围±10V/±5V/±2.5V/±1.25V/±0.625V可设；
2）4路同步D/A输出，16位分辨率，单通道更新率最大可达2.8M Samples/S，±10V, ±5V输出；
3)48路DIO，TTL电平，软件可配；（细化参数，功能单一，找交付）
4)4通道32位定时器/计数器",,,,,,,,16,32,,,,,,,,,True,10.0,-10.0,16,0.0,,,,,,,,,,,,,,,,,,32,4,,,,,,,,,,4,,,,,,10.0,-10.0,16,,,2800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,多功能采集,多功能采集卡,Links-IPC-DAQ-07,灵思创奇,90,1,90,,"1）32路单端/16路差分A/D输入，16位分辨率，采样率100KHz,输入范围±10V/±5V/±2.5V/±1.25V可设；
2）16通道DO，16通道DI，20VRMS隔离；
3) 1 通道32位定时器/计数器","1）32路单端/16路差分A/D输入，16位分辨率，采样率100KHz,输入范围±10V/±5V/±2.5V/±1.25V可设；
2）16通道DO，16通道DI，20VRMS隔离；
3)1通道32位定时器/计数器",,,,,,,,16,32,,,,,,,,,True,10.0,-10.0,16,100000.0,,,,,,,,,,,,,,,,,,32,1,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,20.0,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,多功能采集,多功能采集卡（DA通道已经调整为4路）,Links-IPC-DAQ-08,灵思创奇,90,1,90,,"12路PWM输出通道，每路可独立控制，10Hz~1MHz，可以两路一组构成互补输出关系（死区可设置）；
2路增量式正交编码器采集通道，32位计数器，可直接输出角度和角速度；
6路差分信号输入通道，可配置为霍尔编码器采集；
8路并行A/D，16位分辨率，±10V，采样率100kHz；
4路DA，16位分辨率，±10V；
8路DI，8路DO，TTL电平；
2路5V供电输出，单路最大电流输出200mA；
2路数字I/O线（5V CMOS/TTL），可配置为脉冲采集通道，可采集脉冲频率和占空比，32位计数器。","12路PWM输出通道，每路可独立控制，10Hz~1MHz，可以两路一组构成互补输出关系（死区可设置）；
2路增量式正交编码器采集通道，32位计数器，可直接输出角度和角速度；
6路差分信号输入通道，可配置为霍尔编码器采集；
8路并行A/D，16位分辨率，±10V，采样率100kHz；
4路DA，16位分辨率，±10V；
8路DI，8路DO，TTL电平；
2路5V供电输出，单路最大电流输出200mA；
2路数字I/O线（5V CMOS/TTL），可配置为脉冲采集通道，可采集脉冲频率和占空比，32位计数器。",,,,,,,,,8,,,,,,,,,,10.0,-10.0,16,100000.0,,,,,,,,,,,,,,,,,,32,2,,,,,,,,,,4,,,,,,10.0,-10.0,16,,,,,8,,,,True,,,,,,5V CMOS/TTL,2,8,,,,,,,,,,6,,32,6,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,200.0,5.0,,,,,,,,,,,True,True,1000000.0,10.0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,模拟量,模拟量输出卡,Links-IPC-DA-03,灵思创奇,150,1,150,,"16通道电压或电流输出（软件可配）
16位D/A分辨率
电压输出范围：-10V～+10V
电流输出范围：0～+20mA
电流输出精度0.05%（F.S.）
电压输出精度0.1%（F.S.）","16通道电压或电流输出（软件可配）
16位D/A分辨率
电压输出范围：-10V～+10V
电流输出范围：0～+20mA
电流输出精度0.05%（F.S.）
电压输出精度0.1%（F.S.）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.1,16,,20.0,0.0,,True,10.0,-10.0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,模拟量,模拟量输出卡,Links-IPC-DA-04,灵思创奇,180,1,180,,"16通道电压或电流输出（软件可配）
16通道数字量输入/输出（软件可配）
每8通道数字量一组，方向整组设置
5V CMOS电平，兼容5V TTL电平
16位D/A分辨率
电压输出范围：-10V～+10V
电流输出范围：0～+20mA
电流输出精度0.05%（F.S.）
电压输出精度0.1%（F.S.）","16通道电压或电流输出（软件可配）
16通道数字量输入/输出（软件可配）
每8通道数字量一组，方向整组设置
5V CMOS电平，兼容5V TTL电平
16位D/A分辨率
电压输出范围：-10V～+10V
电流输出范围：0～+20mA
电流输出精度0.05%（F.S.）
电压输出精度0.1%（F.S.）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.1,16,,20.0,0.0,,True,10.0,-10.0,16,,,,,,,,,,,8,,,,5V CMOS/TTL,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,模拟量,同步模拟量采集卡,Links-IPC-AD-01,灵思创奇,190,1,190,,"16通道并行模拟量采集，16位分辨率
每8通道一组，整组支持配置为电压采集或电流采集
电压采集：精度0.1%（F.S.），范围-10V～+10V（可客制-30V～+30V）
采样率：200kHz
电流采集：精度0.1%（F.S.），范围-20mA～+20mA（可客制-100mA～+100mA）","16通道并行模拟量采集，16位分辨率
每8通道一组，整组支持配置为电压采集或电流采集
电压采集：精度0.1%（F.S.），范围-10V～+10V（可客制-30V～+30V）
采样率：200kHz
电流采集：精度0.1%（F.S.），范围-20mA～+20mA（可客制-100mA～+100mA）",,,,,0.1,,0.1,,16,8,,,,True,-20~+20,,,,10.0,-10.0,16,200000.0,,,,,,,,,,,,,,,,,,,,,,,100.0,-100.0,30.0,-30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,模拟量,同步模拟量采集卡,Links-IPC-AD-02,灵思创奇,190,1,190,,"32通道并行模拟量采集，16位分辨率
每8通道一组，整组支持配置为电压采集或电流采集
电压采集：精度0.2%（F.S.），范围-10V～+10V（可客制-30V～+30V）
采样率：200kHz
电流采集：精度0.2%（F.S.），范围-20mA～+20mA（可客制-100mA～+100mA）","32通道并行模拟量采集，16位分辨率
每8通道一组，整组支持配置为电压采集或电流采集
电压采集：精度0.2%（F.S.），范围-10V～+10V（可客制-30V～+30V）
采样率：200kHz
电流采集：精度0.2%（F.S.），范围-20mA～+20mA（可客制-100mA～+100mA）",,,,,0.2,,0.2,,32,8,,,,True,-20~+20,,,,10.0,-10.0,16,200000.0,,,,,,,,,,,,,,,,,,,,,,,100.0,-100.0,30.0,-30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,模拟量,同步模拟量采集卡（隔离）,Links-IPC-AD-03,灵思创奇,270,1,270,,"16/32通道模拟量采集
每通道100Ksps采样速率
输入电压范围：+10V～-10V，支持客制至+30V～-30V
输入电流范围：+20mA～-20mA
电流采样电阻：470Ω@0.250mW，精度0.1%
电压输入模式输入阻抗：10MΩ，精度10%","16/32通道模拟量采集
每通道100Ksps采样速率
输入电压范围：+10V～-10V，支持客制至+30V～-30V
输入电流范围：+20mA～-20mA
电流采样电阻：470Ω@0.250mW，精度0.1%
电压输入模式输入阻抗：10MΩ，精度10%",,,,,,,,,32,,,0.1,470.0,,-20~+20,10000000.0,,,10.0,-10.0,16,100000.0,,,,,,,,,,,,,,,,,,,,,,,,,30.0,-30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,通信协议,串口卡,Links-IPC-SER-01,灵思创奇,60,1,60,,PCI接口，8路异步串行通道，支持RS-232/422/485模式配置，通讯速度可达到921.6Kbps，板载128字节FIFO,PCI接口，8路异步串行通道，支持RS-232/422/485模式配置，通讯速度可达到921.6Kbps，板载128字节FIFO，采用标准的16PCI954 UART,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,128,"{""RS-232"",""RS-422"",""RS-485""}",,921600
